,Pickup_longitude,Pickup_latitude,size,label
335,-73.8019965717,40.7020501409,336.0,12.0
336,-73.7997152489,40.7035446627,249.0,0.0
337,-73.7997290667,40.702532039,204.0,1.0
338,-73.958873001,40.7153441084,240219.0,0.0
339,-73.9501886283,40.7183423675,339.0,1.0
340,-73.9503971186,40.7166932185,399.0,2.0
341,-73.9551188878,40.7129259382,105.0,3.0
342,-73.9460126861,40.713458391,32211.0,0.0
343,-73.9491504092,40.7174725621,1626.0,1.0
344,-73.936288206,40.710742852,465.0,2.0
345,-73.9348171658,40.7134496901,270.0,3.0
346,-73.9382912057,40.7125238512,183.0,4.0
347,-73.9338966138,40.7154063022,198.0,5.0
348,-73.9364792198,40.7115258248,279.0,6.0
349,-73.9334147801,40.7140477974,321.0,7.0
350,-73.8507509766,40.7106467895,375.0,0.0
351,-73.8595667642,40.7120640467,378.0,1.0
352,-73.890802002,40.7122336755,195.0,2.0
353,-73.8302305633,40.7139515372,35649.0,0.0
354,-73.8451345239,40.7195873695,921.0,1.0
355,-73.8035487932,40.7170881403,3777.0,2.0
356,-73.8387789207,40.719272153,2013.0,3.0
357,-73.8175329355,40.7176793612,195.0,4.0
358,-73.8424565452,40.7193397794,252.0,5.0
359,-73.7930361901,40.7108412378,243.0,0.0
360,-73.7831537306,40.7127477901,291.0,1.0
361,-73.9574737117,40.7216338099,49266.0,0.0
362,-73.957515604,40.7287971052,8334.0,1.0
363,-73.9518551817,40.725332112,37203.0,2.0
364,-73.9618943915,40.7205548191,1494.0,3.0
365,-73.9526996035,40.720473434,198.0,4.0
366,-73.9589944862,40.7286051095,249.0,5.0
367,-73.9501977143,40.7280831514,162.0,6.0
368,-73.950796095,40.7289989277,177.0,7.0
369,-73.948486491,40.7245419194,1827.0,0.0
370,-73.9491422226,40.7224070592,4020.0,1.0
371,-73.9490077314,40.7263855532,747.0,2.0
372,-73.9443790815,40.7205523664,513.0,3.0
373,-73.9488653929,40.7282562256,276.0,4.0
374,-73.9448305116,40.7231141529,411.0,5.0
375,-73.9450907337,40.7256127194,579.0,6.0
376,-73.9398033505,40.7261459714,189.0,7.0
377,-73.9407547497,40.7257165752,183.0,8.0
378,-73.9466405729,40.7251882786,123.0,9.0
379,-73.9409646808,40.7220140133,318.0,10.0
380,-73.8612772183,40.729615045,2079.0,0.0
381,-73.8531224194,40.7267545332,3138.0,1.0
382,-73.8952084667,40.7261532837,318.0,2.0
383,-73.8580300859,40.7286195138,834.0,3.0
384,-73.8674398352,40.7226127813,243.0,4.0
385,-73.8443963325,40.721368374,84492.0,0.0
386,-73.9548789889,40.7324786476,30690.0,0.0
387,-73.9596233792,40.7332269881,270.0,1.0
388,-73.9532277307,40.7324652561,129.0,2.0
389,-73.8717184583,40.7345832426,89775.0,0.0
390,-73.8631011776,40.7320493029,41979.0,1.0
391,-73.8825494641,40.7376766383,321.0,2.0
392,-73.8506392252,40.7349919298,969.0,3.0
393,-73.8671896636,40.7323223797,402.0,4.0
394,-73.8617646264,40.7324213747,183.0,5.0
395,-73.8522143399,40.7378161632,411.0,6.0
396,-73.8959234533,40.7365748446,213.0,7.0
397,-73.8812816989,40.7377284265,186.0,8.0
398,-73.8602669545,40.7383346069,234.0,9.0
399,-73.8895591793,40.739310788,399.0,10.0
400,-73.8865150955,40.7385849863,636.0,11.0
401,-73.8675745522,40.736178561,246.0,12.0
402,-73.8960123966,40.7351527967,285.0,13.0
403,-73.8727482387,40.7358092483,147.0,14.0
404,-73.8671061629,40.7347923537,177.0,15.0
405,-73.8957186358,40.7398274273,327.0,16.0
406,-73.8602771759,40.7357735914,204.0,17.0
407,-73.8793406486,40.7372361422,192.0,18.0
408,-73.8488553822,40.7314096355,417.0,0.0
409,-73.8497288726,40.7332213646,258.0,1.0
410,-73.8491880559,40.736280394,363.0,2.0
411,-73.9527812256,40.7436032244,11403.0,0.0
412,-73.9567527203,40.7467266448,29625.0,1.0
413,-73.9521778843,40.7485094572,171.0,2.0
414,-73.9109267144,40.7447318881,104748.0,0.0
415,-73.9437947787,40.7472762186,22230.0,1.0
416,-73.9164428711,40.7447011242,219.0,2.0
417,-73.9003183116,40.7412056854,207.0,3.0
418,-73.90260055,40.7413734166,678.0,4.0
419,-73.9046616717,40.7416531446,615.0,5.0
420,-73.9074191402,40.7419853395,621.0,6.0
421,-73.9423383249,40.7486645724,444.0,7.0
422,-73.9145240364,40.7462080285,2184.0,8.0
423,-73.9183685996,40.7448813265,264.0,9.0
424,-73.9352943196,40.74304188,204.0,10.0
425,-73.9366660634,40.7450953684,471.0,11.0
426,-73.9178802317,40.7465274984,264.0,12.0
427,-73.9210313242,40.7452257857,237.0,13.0
428,-73.9495580037,40.7485224406,315.0,14.0
429,-73.915518674,40.749251279,198.0,15.0
430,-73.8860634815,40.7470769853,260199.0,0.0
431,-73.8627832155,40.7497228753,4677.0,1.0
432,-73.8996309734,40.7410002861,543.0,2.0
433,-73.8547794955,40.7429210287,1158.0,3.0
434,-73.8957764646,40.7405413039,705.0,4.0
435,-73.8956667125,40.7427563015,417.0,5.0
436,-73.8705304464,40.7423952619,576.0,6.0
437,-73.8979187505,40.7493563685,1392.0,7.0
438,-73.8952802293,40.748483252,282.0,8.0
439,-73.873158799,40.7424797176,582.0,9.0
440,-73.8747182734,40.7433971798,408.0,10.0
441,-73.899223938,40.7435286713,150.0,11.0
442,-73.8587080303,40.7440662719,171.0,12.0
443,-73.8767231357,40.7443141322,186.0,13.0
444,-73.8644122371,40.7452519028,162.0,14.0
445,-73.8260193047,40.7468998613,1305.0,0.0
446,-73.8259338147,40.7428299183,591.0,1.0
447,-73.9216543942,40.757033164,84141.0,0.0
448,-73.9399398086,40.7504521472,3252.0,1.0
449,-73.942999156,40.7535095694,12189.0,2.0
450,-73.9250544745,40.7586710422,681.0,3.0
451,-73.9331064707,40.7525428357,1599.0,4.0
452,-73.9059463086,40.7534119905,6723.0,5.0
453,-73.9378061846,40.7587986339,1815.0,6.0
454,-73.9142207483,40.7529290677,10857.0,7.0
